,GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
24,0,15,22,3,33,2,4,2,26,35,5,0,30,0,39,0,24,12,0,39,39,0,39,47,0,39,25
25,0,15,22,42,33,2,4,2,26,35,5,0,30,1,39,0,36,12,0,36,39,0,39,47,0,39,25
26,0,41,22,32,33,2,16,2,26,32,23,0,32,0,39,0,24,10,0,39,39,0,39,8,1,39,25
27,0,41,14,32,33,18,31,18,46,32,24,0,32,0,36,0,36,10,0,36,39,1,39,35,0,39,25
28,0,20,14,42,33,2,4,2,26,32,5,0,32,0,39,0,24,7,1,39,39,0,39,29,0,39,25
29,0,20,22,45,33,2,4,2,26,35,5,0,32,0,39,0,24,12,0,36,39,0,39,47,0,39,11
30,0,15,14,32,6,2,4,2,26,32,23,0,32,1,39,0,36,10,1,39,39,1,39,29,1,39,25
31,0,41,22,32,33,2,4,2,26,32,23,0,32,0,39,0,24,12,0,36,39,0,39,47,0,39,11
32,0,41,14,3,6,34,16,34,46,47,9,0,27,0,43,0,5,13,0,43,36,0,39,35,1,39,38
33,0,41,22,42,33,34,4,34,26,47,23,0,27,0,36,0,24,12,1,36,39,1,43,29,0,39,25
34,0,41,14,32,33,2,31,2,46,32,23,0,32,0,39,0,24,10,1,39,39,0,39,8,0,39,25
35,0,15,28,42,6,2,4,2,46,35,9,0,32,1,39,0,5,7,1,39,39,1,39,8,1,39,25
36,0,41,22,42,33,2,16,2,26,32,23,0,32,0,39,0,24,13,1,36,39,0,39,29,0,39,25
37,0,41,22,3,33,17,4,17,26,47,5,0,27,0,36,0,24,13,0,43,43,1,39,47,0,39,38
38,0,15,28,42,33,2,4,2,37,35,5,0,30,1,39,0,36,7,1,39,39,1,39,47,0,39,25
39,0,41,14,32,33,2,16,2,46,32,23,0,32,0,39,0,24,10,0,39,39,1,39,8,0,39,11
40,0,20,14,32,33,2,31,2,46,32,5,0,32,0,39,0,36,7,1,39,39,1,39,8,0,39,25
41,0,15,28,32,6,34,4,34,46,47,23,0,27,0,43,0,5,13,1,43,39,1,40,47,1,39,38
42,0,41,14,32,33,2,4,2,46,32,23,0,32,0,39,0,36,13,0,39,39,1,39,29,0,39,25
43,0,41,14,32,33,2,4,2,26,47,24,0,27,0,39,0,24,7,0,39,39,1,39,29,0,39,38
44,0,41,14,3,6,2,4,2,46,35,5,0,32,0,39,0,5,12,0,39,39,1,39,29,1,39,25
45,0,41,22,3,33,34,4,34,26,47,5,0,32,0,36,0,24,12,0,40,43,0,39,47,0,39,38
46,0,41,28,3,6,2,31,18,19,47,9,1,27,0,39,0,23,7,0,39,39,1,39,35,1,39,38
47,0,41,28,42,6,2,4,2,37,32,23,1,32,0,39,0,5,7,1,39,39,1,39,8,1,39,25
48,0,20,28,3,6,18,4,18,37,47,23,0,32,0,39,0,5,12,0,36,39,1,39,47,1,39,11
49,0,20,28,32,6,2,31,2,46,32,5,0,32,0,39,0,5,7,1,36,39,0,39,35,1,39,25
50,0,41,22,32,6,2,16,2,26,32,23,0,32,0,39,0,36,12,0,36,39,0,39,8,1,39,25
51,0,15,22,32,33,2,16,2,46,47,5,0,27,0,39,0,24,12,0,39,39,0,39,8,0,39,38
52,0,20,14,32,33,34,4,34,37,47,9,0,27,0,36,0,24,7,0,36,36,1,39,47,0,36,38
53,0,15,22,32,6,2,31,2,46,32,23,0,32,1,39,0,5,13,0,36,39,1,39,35,1,39,25
54,0,41,14,42,6,2,16,2,37,47,5,1,27,0,39,0,5,7,1,39,39,1,39,35,1,39,38
55,0,41,22,3,6,34,16,34,26,47,5,0,32,0,36,0,36,12,0,43,43,1,39,8,1,39,25
56,0,41,22,32,33,18,4,18,26,32,9,0,32,0,39,0,24,12,0,39,39,0,39,29,0,39,25
57,0,41,21,32,6,2,16,2,19,32,5,1,32,0,39,0,23,7,1,39,39,1,39,8,1,39,25
58,0,15,14,42,33,2,31,2,46,35,23,0,30,1,39,0,24,7,1,39,39,1,39,35,1,39,25
59,0,15,22,42,33,2,4,2,26,35,23,0,30,1,39,0,24,13,1,39,39,0,39,29,0,39,25
60,0,41,22,32,6,2,16,2,46,32,5,0,32,0,39,0,5,13,0,39,39,1,39,8,1,39,25
61,0,41,14,32,33,2,4,2,26,35,5,0,30,0,39,0,36,10,0,39,39,1,39,47,0,39,25
62,0,15,22,42,33,2,4,2,26,32,23,0,32,1,39,0,24,12,1,36,39,1,39,29,0,39,25
63,1,20,22,42,6,17,4,17,37,47,23,1,27,0,43,0,5,13,1,43,43,0,39,29,1,39,25
64,0,20,14,32,6,2,16,2,46,47,5,1,27,0,39,0,5,10,1,36,39,0,39,8,1,39,38
65,0,41,28,32,6,2,4,2,37,32,23,1,32,0,39,0,5,10,1,36,39,1,39,47,1,39,25
66,0,15,22,32,33,2,4,2,26,32,5,0,32,0,39,0,24,12,0,36,39,0,39,47,0,39,25
67,0,41,22,32,33,2,16,2,26,47,24,0,27,0,39,0,36,12,0,36,39,1,39,29,0,39,38
68,0,41,22,32,33,18,4,18,26,47,9,0,27,0,39,0,24,12,0,36,39,0,39,47,0,39,38
69,0,41,28,3,6,34,4,34,46,47,23,0,32,0,43,0,5,13,0,40,43,1,40,47,1,39,25
70,0,41,28,3,33,2,31,2,19,35,5,0,32,0,39,0,36,10,0,39,39,1,39,35,1,39,25
71,0,41,22,42,33,2,4,2,26,35,5,0,30,0,39,0,24,12,1,36,39,1,39,47,1,39,25
72,0,41,22,32,33,2,4,2,26,32,24,0,32,0,39,0,36,13,1,36,39,0,39,47,0,39,25
73,0,41,22,32,33,2,16,2,46,32,23,0,32,0,39,0,5,12,0,39,39,1,39,8,0,39,25
74,0,41,22,42,33,2,4,2,26,32,5,0,32,0,39,0,24,12,1,39,39,0,39,47,0,39,25
75,0,20,14,3,33,17,31,34,46,47,5,0,32,0,36,0,24,10,0,36,36,1,39,35,0,39,38
76,0,20,22,3,6,34,4,17,26,47,23,0,27,0,36,0,36,12,0,36,39,0,39,47,1,39,38
77,0,20,14,32,33,2,4,2,26,32,5,0,32,0,39,0,36,7,0,39,39,1,39,47,0,39,25
78,0,41,28,32,6,2,4,2,37,32,23,1,32,0,39,0,36,10,1,39,39,0,39,47,1,39,25
79,0,41,22,32,6,2,16,2,26,32,23,0,32,0,39,0,36,12,0,36,39,1,39,35,1,39,38
80,0,20,22,3,33,34,4,34,26,47,23,0,27,0,36,0,24,12,0,43,43,0,36,47,0,36,38
81,0,41,28,3,6,2,4,2,37,32,5,1,32,0,39,0,5,7,1,39,39,1,39,47,1,39,25
82,0,15,14,42,6,2,4,2,26,32,23,0,32,1,39,0,36,7,1,39,39,1,39,29,1,39,25
83,0,41,14,32,6,2,16,2,46,32,5,0,32,0,39,0,5,10,0,39,39,1,39,8,1,39,11
84,0,41,14,3,6,34,16,34,46,47,5,0,27,0,43,0,5,12,0,43,36,0,39,8,1,43,11
85,0,41,22,32,33,2,16,2,46,47,5,0,27,0,39,0,5,12,0,39,39,1,39,8,1,39,38
86,0,20,28,42,6,2,31,2,19,32,5,1,32,0,39,0,23,7,1,39,39,1,39,35,1,39,25
87,0,20,22,3,33,2,4,2,26,47,24,0,32,0,39,0,36,12,0,36,39,0,39,29,0,39,25
88,0,20,22,32,6,34,4,34,26,47,9,0,27,0,36,0,36,12,0,40,43,0,39,29,1,36,38
89,0,41,22,42,33,18,31,17,46,47,23,0,27,0,39,0,24,12,1,36,39,0,39,35,0,39,38
90,0,41,22,32,33,34,4,34,37,47,23,0,27,0,36,0,36,13,0,43,36,1,39,8,1,39,38
91,0,41,22,32,33,2,4,2,26,32,9,0,32,0,39,0,24,12,0,36,39,1,39,47,0,39,25
92,0,41,14,42,33,2,16,2,46,32,23,0,32,0,39,0,24,7,1,39,39,1,39,8,1,39,25
93,0,15,14,32,6,18,16,18,26,47,5,0,27,0,39,0,5,10,0,36,39,1,39,29,1,39,11
94,0,41,14,42,33,18,31,34,46,47,23,0,27,0,39,0,24,7,1,36,36,0,39,8,0,39,11
95,0,41,14,32,6,18,16,18,46,47,23,1,27,0,39,0,5,10,1,36,39,1,39,35,1,39,38
96,0,41,22,3,33,18,31,17,46,47,5,0,27,0,39,0,24,13,0,39,39,1,39,8,0,39,38
97,0,41,28,42,6,2,4,2,19,35,5,1,32,0,39,0,23,7,1,36,39,1,39,29,1,39,25
98,0,41,28,32,6,2,16,2,19,32,5,1,32,0,39,0,23,10,1,39,39,1,39,29,1,39,11
99,0,41,14,32,33,2,16,2,46,32,23,0,32,0,39,0,24,7,0,39,39,1,39,8,0,39,25
100,0,15,22,42,6,2,4,2,26,32,23,0,32,1,39,0,36,12,1,39,39,1,39,8,1,39,25
101,0,20,22,32,33,2,4,2,26,32,23,0,32,0,39,0,24,12,0,39,39,1,39,47,0,39,25
102,0,15,14,42,6,2,4,2,26,47,5,0,27,0,39,0,36,7,1,39,39,1,39,47,1,39,38
103,0,20,22,3,6,2,16,2,46,47,23,1,27,0,39,0,5,13,0,36,39,0,39,8,1,39,38
104,0,41,22,32,33,34,16,34,26,47,5,0,27,0,39,0,24,13,0,36,36,1,39,8,0,43,38
105,0,15,22,32,33,2,4,2,26,35,23,0,30,1,39,0,24,12,0,36,39,1,39,47,0,39,25
106,0,15,28,32,6,2,16,2,19,32,5,1,32,0,39,0,23,10,1,39,39,1,39,8,1,39,25
107,0,41,28,32,6,2,16,2,46,32,23,0,32,0,39,0,5,10,0,39,39,1,39,8,1,39,25
108,0,20,22,32,33,2,31,2,46,32,5,0,32,0,39,0,5,12,0,36,39,0,39,8,0,39,25
109,0,15,22,32,33,2,4,2,26,32,23,0,32,0,39,0,24,12,0,39,39,1,39,29,0,39,11
110,0,41,28,42,6,2,16,2,19,32,5,1,32,0,39,0,23,7,1,39,39,1,39,8,1,39,25
111,0,41,22,3,33,2,4,2,37,35,5,0,32,0,39,0,24,12,0,36,39,1,39,47,0,39,25
112,0,15,22,42,33,2,16,2,46,35,23,0,30,1,39,0,24,12,1,36,39,0,39,29,0,39,25
113,0,20,14,3,33,2,31,2,46,32,5,0,32,0,39,0,5,10,0,39,39,1,39,8,0,39,25
114,0,41,22,3,6,2,4,2,26,32,5,0,32,0,39,0,24,13,0,39,39,1,39,29,1,39,11
115,0,15,28,32,6,2,16,2,19,32,5,1,32,1,39,0,23,7,1,39,39,0,39,8,1,39,25
116,0,41,14,32,6,2,4,2,46,35,23,1,30,0,39,0,5,10,0,39,39,1,39,47,1,39,25
117,0,20,14,3,6,18,16,18,46,47,24,0,27,0,39,0,5,10,0,39,39,0,39,8,1,39,38
118,0,15,14,32,33,2,31,2,46,32,23,0,32,1,39,0,24,7,0,39,39,1,39,35,1,39,25
119,0,41,28,32,6,2,31,2,46,32,5,1,32,0,39,0,5,7,1,39,39,0,39,35,1,39,25
120,0,15,22,42,33,2,4,2,26,32,23,0,32,1,39,0,24,12,1,39,39,1,39,47,0,39,25
121,0,41,14,3,6,18,16,18,46,47,23,0,32,0,39,0,5,13,0,39,39,1,39,8,1,39,38
122,0,15,28,3,6,2,4,2,19,47,5,1,27,0,39,0,23,7,1,36,39,1,39,29,1,39,38
123,0,41,14,32,6,17,4,17,46,32,9,0,32,0,43,0,5,7,0,43,39,0,39,8,1,39,25
124,0,41,22,3,33,2,4,2,26,35,5,0,30,0,39,0,36,12,0,39,39,0,39,29,0,39,25
125,0,41,22,42,33,2,4,2,26,32,23,0,32,0,39,0,24,12,1,36,39,0,39,29,0,39,25
126,0,41,14,32,33,2,16,2,46,32,23,0,32,0,39,0,24,13,0,39,39,1,39,8,1,39,25
127,0,15,14,32,33,34,16,17,46,47,9,0,27,0,36,0,24,7,0,36,36,1,39,35,1,39,11
128,0,20,14,32,6,2,16,2,46,47,23,1,27,0,39,0,5,7,0,39,39,1,39,35,1,39,38
129,0,20,22,32,33,34,4,17,26,47,5,0,27,0,36,0,24,12,0,36,39,0,36,47,0,39,38
130,0,41,14,32,6,2,16,2,46,47,9,0,27,0,39,0,5,7,0,36,39,1,39,35,1,39,38
131,0,41,14,32,33,2,16,2,46,32,23,0,32,0,39,0,24,10,0,36,39,1,39,8,0,39,25
132,0,41,14,32,6,2,16,2,26,47,23,0,27,0,39,0,36,10,0,36,39,1,39,8,1,39,11
133,0,41,22,32,6,2,4,2,26,32,9,0,32,0,39,0,36,12,0,36,39,1,39,29,1,39,25
134,0,41,28,32,6,2,16,2,46,32,24,0,32,0,39,0,5,10,1,36,39,1,39,8,1,39,25
135,0,20,28,3,6,2,4,2,46,32,9,1,32,0,39,0,5,7,1,39,39,1,39,8,1,39,25
136,0,20,22,3,33,17,4,18,26,47,9,0,27,0,39,0,24,13,0,36,39,1,39,47,0,39,38
137,0,20,14,3,33,34,4,34,37,47,23,0,27,0,36,0,24,10,0,36,36,1,40,47,0,39,38
138,0,20,28,3,6,2,16,2,46,32,5,0,32,0,39,0,5,10,0,39,39,1,39,8,1,39,38
139,0,20,14,32,33,2,31,2,46,47,24,0,27,0,39,0,36,7,1,39,39,1,39,8,0,39,38
140,0,15,22,32,33,17,4,17,26,47,5,0,27,0,36,0,24,12,0,43,43,1,39,8,1,39,38
141,0,41,22,3,33,34,16,34,46,47,23,0,27,0,36,0,24,10,0,43,36,1,39,8,0,39,38
142,0,41,28,42,6,17,4,17,37,47,23,1,27,0,43,0,5,7,1,40,43,1,39,47,1,39,11
143,0,15,28,32,6,2,31,2,37,32,5,1,32,0,39,0,36,10,1,36,39,1,39,35,1,39,25
144,0,41,28,32,6,2,16,2,46,32,5,1,32,0,39,0,5,13,1,39,39,1,39,29,1,39,25
145,0,41,14,32,33,2,31,2,46,35,5,0,30,0,39,0,24,7,0,39,39,1,39,35,1,39,25
146,0,41,14,32,33,2,31,2,46,47,24,0,27,0,39,0,36,7,1,39,39,1,39,35,0,39,38
147,0,15,22,3,33,2,31,2,46,47,5,0,27,0,39,0,24,12,0,39,39,0,39,8,0,39,38
148,0,15,22,42,33,18,4,18,26,47,23,0,27,1,39,0,24,12,1,39,39,1,39,47,0,39,38
149,0,20,22,3,33,2,16,2,46,35,5,0,30,0,39,0,24,12,0,39,39,0,39,29,0,39,25
150,0,20,22,3,33,2,4,2,26,35,23,0,32,0,39,0,24,12,0,36,39,1,39,29,0,39,38
151,0,20,22,32,33,2,4,2,26,32,5,0,32,0,39,0,36,12,0,39,39,1,39,29,0,39,25
152,0,15,14,42,33,2,16,2,46,32,5,0,32,1,39,0,36,7,1,39,39,1,39,8,0,39,25
153,0,15,22,3,33,2,16,2,46,35,23,0,32,0,39,0,24,12,0,36,39,1,39,29,0,39,25
154,0,41,22,42,33,2,4,2,26,32,9,0,32,0,39,0,24,12,1,39,39,1,39,47,0,39,25
155,0,41,14,3,6,2,16,2,46,35,5,0,32,0,39,0,5,10,0,39,39,1,39,35,1,39,11
156,0,41,22,32,33,2,4,2,26,47,24,0,27,0,39,0,36,13,0,36,39,0,39,29,0,39,38
157,0,41,28,32,6,2,16,2,19,32,5,1,32,0,39,0,23,10,0,39,39,1,39,8,1,39,25
158,0,15,28,32,6,2,16,2,46,35,23,0,30,0,39,0,5,7,1,39,39,1,39,8,1,39,25
159,0,41,22,3,33,2,4,2,26,32,5,0,32,0,39,0,24,12,0,39,39,0,39,29,0,39,25
160,0,41,14,32,33,2,31,2,46,32,5,0,32,0,39,0,36,7,1,39,39,1,39,8,0,39,25
161,0,41,22,3,33,34,16,34,26,47,5,0,32,0,36,0,24,12,0,36,36,1,39,8,0,39,25
162,0,41,22,3,6,2,16,2,26,47,23,0,27,0,39,0,36,12,0,39,39,1,39,35,1,39,38
163,0,41,22,3,33,2,4,2,26,35,24,0,30,0,39,0,36,12,0,39,39,0,39,47,0,39,25
164,1,20,28,32,6,2,16,2,46,32,5,0,32,0,39,0,5,10,1,36,39,1,39,35,1,39,38
165,0,41,28,32,33,2,4,2,19,32,23,1,32,0,39,0,36,7,1,36,39,1,39,47,0,39,25
166,0,41,14,32,33,34,31,34,46,32,9,0,32,0,36,0,24,7,0,36,36,1,39,8,0,39,25
167,0,41,22,32,33,2,4,2,26,32,23,0,32,0,39,0,24,12,0,36,39,0,39,47,0,39,25
168,0,41,21,3,6,2,31,2,19,32,5,1,32,0,39,0,23,7,0,39,39,1,39,35,1,39,38
169,0,20,22,3,33,34,4,34,26,47,5,0,32,0,36,0,36,12,0,36,39,0,36,47,0,39,25
170,0,41,28,45,6,2,16,2,46,47,23,1,27,0,39,0,5,12,0,39,39,1,39,35,1,39,38
171,0,41,14,32,33,2,4,2,26,32,23,0,32,0,39,0,24,10,0,36,39,1,39,47,0,39,25
172,0,41,28,3,33,2,31,18,19,47,23,1,27,0,39,0,36,13,0,39,39,1,39,35,1,39,38
173,0,41,14,3,33,2,4,2,26,35,23,0,32,0,39,0,24,12,0,36,39,1,39,47,0,39,25
174,0,20,14,32,6,18,16,18,46,47,5,1,27,0,39,0,5,7,1,36,39,1,39,8,1,39,38
175,0,41,14,32,33,2,4,2,26,47,23,0,27,0,39,0,24,7,0,36,39,1,39,47,0,39,38
176,0,41,22,32,33,2,4,2,37,35,23,0,30,0,39,0,36,12,0,39,39,1,39,47,0,39,25
177,0,15,14,32,33,17,31,34,46,47,23,0,27,0,39,0,24,10,1,43,43,1,39,8,0,39,38
178,1,20,28,3,6,17,16,17,19,47,23,1,27,0,43,0,23,12,1,43,39,1,39,35,1,39,38
179,0,20,28,3,6,2,4,2,46,47,5,1,27,0,39,0,5,13,0,39,39,1,39,47,1,39,38
180,0,41,22,32,33,2,4,2,26,32,5,0,32,0,39,0,36,12,0,39,39,0,39,29,0,39,25
181,0,20,28,3,6,2,16,2,19,35,9,1,30,0,39,0,23,13,0,36,39,1,39,35,1,39,25
182,0,41,14,32,33,2,16,2,46,35,5,0,30,0,39,0,24,10,0,39,39,0,39,29,1,39,25
183,0,41,22,32,33,2,4,2,37,32,23,1,32,0,39,0,23,12,0,39,39,0,39,29,0,39,25
184,0,41,14,3,33,2,31,2,46,35,5,0,32,0,39,0,36,10,0,39,39,1,39,8,0,39,11
185,0,41,14,32,33,2,16,2,46,35,23,0,30,0,39,0,5,10,1,39,39,1,39,35,1,39,25
186,0,41,14,32,33,2,4,2,26,35,5,0,30,0,39,0,24,10,1,39,39,1,39,29,0,39,25
187,0,41,14,3,6,34,16,34,46,47,5,0,27,0,43,0,5,10,0,43,43,1,39,8,1,39,38
188,0,41,14,32,33,2,16,2,46,32,9,0,32,0,39,0,24,7,0,39,39,1,39,29,0,39,25
189,0,20,22,3,33,2,31,2,46,32,24,0,32,0,39,0,5,12,0,39,39,0,39,35,0,39,11
190,0,41,28,42,33,2,16,2,19,32,24,0,32,0,39,0,23,7,1,36,39,1,39,35,1,39,25
191,0,41,14,3,33,2,16,2,46,35,23,0,32,0,39,0,24,10,0,39,39,1,39,8,0,39,11
192,0,41,28,32,6,2,31,18,19,47,5,1,27,0,39,0,23,10,1,39,39,0,39,35,1,39,38
193,0,41,22,32,33,2,31,2,46,32,23,0,32,0,39,0,5,12,0,36,39,1,39,35,0,39,25
194,0,41,22,3,33,2,31,2,46,47,5,0,27,0,39,0,24,13,0,39,39,1,39,8,0,39,38
195,0,41,22,3,6,17,4,17,26,47,23,0,27,0,36,0,36,12,0,36,39,0,39,8,1,39,38
196,0,41,14,42,33,18,31,18,46,47,23,0,27,0,36,0,24,7,1,36,39,1,39,8,0,39,38
197,0,41,22,3,33,2,4,2,26,32,5,0,32,0,39,0,24,12,0,39,39,1,39,47,0,39,25
198,0,20,14,3,6,34,16,34,46,47,9,0,32,0,43,0,5,10,0,43,43,1,39,8,1,39,11
199,0,41,22,42,33,2,16,2,26,35,5,0,30,0,39,0,36,12,1,39,39,0,39,8,0,39,25
200,0,41,22,32,33,2,16,2,46,32,5,0,32,0,39,0,36,12,0,39,39,0,39,29,0,39,25
201,0,15,22,3,33,2,4,2,37,35,23,0,30,0,39,0,24,12,0,39,39,0,39,29,0,39,25
202,0,20,14,3,33,34,4,34,37,47,23,0,27,0,36,0,24,12,0,36,39,1,39,47,0,39,38
203,0,41,14,32,33,2,16,2,46,32,9,0,32,0,39,0,24,7,0,36,39,1,39,47,0,39,25
204,0,15,21,42,6,2,16,2,46,32,5,0,32,1,39,0,5,7,1,39,39,1,39,8,1,39,25
205,0,41,28,42,6,2,16,2,46,32,23,0,32,0,39,0,5,7,1,39,39,1,39,29,1,39,25
206,0,41,28,3,6,18,4,18,37,47,23,1,27,0,39,0,23,7,0,39,39,1,39,47,1,39,38
207,0,41,22,32,33,2,4,2,26,47,9,0,27,0,39,0,24,12,0,39,39,0,39,47,0,39,38
208,0,20,14,32,33,34,4,34,37,47,9,0,27,0,36,0,24,7,0,43,36,1,40,47,0,39,38
209,0,41,22,42,33,2,4,2,26,32,23,0,32,0,39,0,24,12,1,39,39,0,39,29,0,39,25
210,0,41,22,3,33,34,4,17,26,47,24,0,27,0,36,0,36,12,0,40,43,0,40,47,0,39,38
211,0,41,22,32,33,2,16,2,26,32,5,0,32,0,39,0,24,12,0,39,39,1,39,29,0,39,25
212,0,41,22,3,33,2,4,2,26,35,5,0,30,0,39,0,24,10,0,36,39,0,39,29,0,39,25
213,0,41,28,32,6,34,31,34,46,32,5,0,32,0,43,0,5,7,1,40,43,1,39,35,1,39,25
214,0,20,14,3,33,18,4,18,26,47,5,0,27,0,39,0,36,10,0,39,39,1,39,47,0,39,38
215,0,41,14,32,6,2,16,2,46,32,5,0,32,0,39,0,5,10,1,39,39,1,39,8,1,39,25
216,0,41,28,32,6,2,4,2,46,32,23,1,32,0,39,0,5,7,1,36,39,1,39,29,1,39,25
217,0,15,28,32,33,2,4,2,19,32,23,1,32,0,39,0,5,7,1,39,39,0,39,29,0,39,11
218,0,41,22,3,33,2,16,2,26,32,5,0,32,0,39,0,24,12,0,39,39,0,39,8,0,39,25
219,0,15,28,42,6,2,4,2,37,32,5,1,32,1,39,0,5,7,1,39,39,1,39,47,1,39,25
220,0,41,22,32,33,17,4,17,26,32,5,0,32,0,36,0,24,12,0,36,36,1,43,47,0,43,25
221,0,20,14,32,33,2,16,2,46,32,5,0,32,0,39,0,24,7,1,39,39,1,39,29,0,39,25
222,0,41,28,3,33,17,31,34,46,47,9,0,32,0,39,0,24,7,0,43,43,1,39,8,0,39,38
223,0,41,22,42,33,34,16,34,46,47,23,0,27,0,36,0,24,12,0,36,36,1,39,8,1,43,38
224,0,41,14,32,33,2,16,2,46,32,24,0,32,0,39,0,24,10,0,39,39,1,39,8,1,39,25
225,0,15,28,32,6,34,16,34,19,47,23,1,27,0,43,0,23,7,1,43,43,1,43,8,1,36,38
226,0,20,28,3,6,2,16,2,46,47,5,1,32,0,39,0,36,12,0,39,39,1,39,35,1,39,11
227,1,20,28,32,33,2,16,2,19,47,24,1,27,0,39,0,23,13,1,39,39,1,39,8,1,39,25
228,0,41,14,32,33,2,31,2,46,32,5,0,32,0,39,0,36,10,1,39,39,1,39,8,0,39,25
229,0,41,22,32,33,34,31,17,46,47,5,0,27,0,43,0,5,12,0,43,39,0,39,35,1,39,38
230,0,41,22,32,33,17,16,17,37,47,5,0,27,0,43,0,5,12,0,40,43,1,39,8,0,43,38
231,0,41,28,42,33,2,16,2,19,35,23,0,32,0,39,0,5,7,1,39,39,1,39,35,1,39,25
232,0,41,22,42,33,18,4,18,26,47,23,0,27,0,39,0,24,12,1,36,39,0,39,29,0,39,25
233,0,15,22,42,33,18,4,18,26,32,23,0,32,1,39,0,36,12,1,39,39,0,39,8,1,39,25
234,0,15,22,42,6,2,4,2,26,35,5,0,30,1,39,0,5,12,1,36,39,1,39,8,1,39,25
235,0,41,28,42,6,18,16,18,46,47,23,0,27,0,39,0,5,7,1,39,39,1,39,8,1,39,25
236,1,20,22,3,33,2,4,2,26,32,9,0,32,0,39,0,24,12,0,36,39,0,39,47,0,39,25
237,0,41,14,32,33,2,16,2,46,47,5,0,27,0,39,0,24,10,0,39,39,1,39,8,0,39,38
238,0,20,14,3,33,34,4,34,46,47,23,0,27,0,36,0,24,10,0,40,43,1,39,29,0,39,38
239,0,41,22,32,33,34,4,34,26,47,23,0,27,0,36,0,24,12,0,36,36,1,39,29,0,39,38
240,0,41,22,32,6,18,16,18,26,35,23,0,30,0,36,0,36,13,0,36,39,1,39,8,1,39,25
241,0,41,14,32,6,2,4,2,26,35,24,0,30,0,39,0,36,10,0,36,39,1,39,29,1,39,25
242,0,41,22,32,33,2,16,2,46,32,5,0,32,0,39,0,5,12,0,39,39,1,39,8,1,39,25
243,0,41,14,3,6,2,16,2,26,47,23,0,32,0,39,0,5,10,0,36,39,1,39,35,1,39,38
